Month Sort Text File
This data is a list of hurricanes organized by month in descending order.

Kate	2	11	21	1985
Michael	5	10	10	2018
Matthew	2	10	07	2016
Wilma	3	10	24	2005
Irene	1	10	15	1999
Opal	3	10	04	1995
Floyd	1	10	12	1987
Gladys	2	10	19	1972
Inez	1	10	08	1966
Isbell	2	10	14	1964
Hazel	1	10	09	1953
King	4	10	18	1950
Sally	2	09	16	2020
Irma	4	09	10	2017
Hermine	1	09	02	2016
Rita	1	09	20	2005
Frances	2	09	05	2004
Ivan	3	09	16	2004
Jeanne	3	09	26	2004
Earl	1	09	03	1998
Georges	2	09	25	1998
Elena	3	09	01	1985
David	2	09	03	1979
Eloise	3	09	23	1975
Betsy	3	09	08	1965
Dora	2	09	10	1964
Donna	4	09	10	1960
Flossy	1	09	24	1956
Florence	1	09	26	1953
Easy	3	09	05	1950
Katrina	1	08	25	2005
Charley	4	08	13	2004
Erin	2	08	03	1995
Andrew	5	08	24	1992
Cleo	2	08	27	1964
Dennis	3	07	10	2005
Agnes	1	06	19	1972
Alma	2	06	09	1966
